precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLORIAN FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","IANCU-SĂLĂJANU DINU-PARTIDUL NAȚIONAL LIBERAL-voturi","CRIŞAN VALERIU-RADU-PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PETER TEODOR-PARTIDUL MIȘCAREA POPULARĂ-voturi","SZILÁGYI RÓBERT-ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","STANCIU GHEORGHE-PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi"
33,SĂLAJ,"CĂMINUL CULTURAL BOCȘIȚA",173,HERECLEAN,141376,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",74,59,0,12,3,47,32,0,12,3,41,6,70,23,7,12,1,3,17,1
33,SĂLAJ,"CĂMINUL CULTURAL BOZIEŞ",97,BOGHIŞ,180037,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",210,197,0,5,8,144,131,0,5,8,136,8,228,84,5,4,0,0,127,0
33,SĂLAJ,"CĂMINUL CULTURAL BRÎGLEZ",279,SURDUC,142774,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",260,202,0,44,14,211,153,0,44,14,201,10,238,27,91,89,5,10,0,6
33,SĂLAJ,"CĂMINUL CULTURAL CERNUC",164,GÂRBOU,141232,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",160,145,0,12,3,94,79,0,12,3,77,2,163,84,26,32,5,7,2,5
33,SĂLAJ,"CĂMINUL CULTURAL CRISTOLȚ",127,CRISTOLŢ,140770,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",550,497,0,15,38,400,347,0,15,38,382,18,540,140,122,142,7,81,2,28
33,SĂLAJ,"CAMINUL CULTURAL CRISTUR-CRISENI",132,CRIŞENI,140823,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",432,420,0,6,6,233,221,0,6,6,227,6,470,237,15,51,0,4,156,1
33,SĂLAJ,"CĂMINUL CULTURAL DIN MESEŞENII DE JOS",226,"MESEŞENII DE JOS",142079,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",610,544,0,51,15,442,376,0,51,15,418,24,595,153,134,25,18,14,225,2
33,SĂLAJ,"CĂMINUL CULTURAL DOBA",141,DOBRIN,140958,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",268,262,0,4,2,145,139,0,4,2,138,7,295,150,4,6,1,6,120,1
33,SĂLAJ,"CĂMINUL CULTURAL DOLU",310,ZIMBOR,143147,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",53,43,0,10,0,34,24,0,10,0,33,1,50,16,8,14,1,4,3,3
33,SĂLAJ,"CĂMINUL CULTURAL FĂGETU",248,PLOPIŞ,142337,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",521,507,0,6,8,250,236,0,6,8,225,25,594,344,43,151,5,7,2,17
33,SĂLAJ,"CĂMINUL CULTURAL FILDU DE MIJLOC",150,"FILDU DE JOS",141081,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",322,307,0,12,3,228,213,0,12,3,216,12,338,110,101,102,1,3,2,7
33,SĂLAJ,"CĂMINUL CULTURAL FIRMINIŞ",231,MIRŞID,142122,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",135,120,1,14,0,93,79,0,14,0,84,9,161,68,44,34,4,0,2,0
33,SĂLAJ,"CĂMINUL CULTURAL FIZEȘ",266,SÂG,142612,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",267,259,0,8,0,140,132,0,8,0,131,9,292,152,39,85,3,2,1,1
33,SĂLAJ,"CĂMINUL CULTURAL GĂLĂȘENI, NR.50",135,CUZĂPLAC,140869,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",102,85,0,17,0,70,53,0,17,0,69,1,94,24,5,54,1,1,1,7
33,SĂLAJ,"CĂMINUL CULTURAL HĂȘMAȘ",295,ŞIMIŞNA,179695,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",224,205,0,14,5,152,133,0,14,5,138,14,250,98,101,30,0,3,3,1
33,SĂLAJ,"CĂMINUL CULTURAL HERECLEAN",171,HERECLEAN,141376,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",479,465,1,11,2,299,285,1,11,2,294,5,530,231,76,136,14,36,20,12
33,SĂLAJ,"CĂMINUL CULTURAL INĂU",274,SOMEŞ-ODORHEI,142710,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",500,465,0,10,25,367,332,0,10,25,351,16,540,172,61,267,3,6,1,13
