1,20,8,2020,14404,29,1407,,0,GAUCHO-SOFT BRONCE,KALBVELOUR TOFFEE,FROTTEE OFFWHITE,DELIKA OFFWHITE,HEELGRIP OFFWHITE,CAPAMA 103,PU-SCHAUM 6 ANTHRAZIT,WILHELM SCHAUM 4 OFFWHITE,IBITECH 57 STROBELSTOFF,VA 12ML CAFFEE,YL-264 NEW MORO,RX-55_15_100 TOFFEE_BLAU_ROT,SERAFIL 0287-30,SERAFIL 0287-60,SERAFIL 0971-30,SERAFIL 0971-60,SERAFIL 1000-60,SERAFIL 2000-60,SERAFIL 1000-30,,
6,,,,18842,7,1449,259,120,0,0,0,11.88,2.28,2.04,2.196,1.56,0.84,4.2,480,26.4,120,1110,666,120,84,432,1560,,
6,,,,18842,7,1449,271,120,0,0,0,11.88,2.28,2.04,2.196,1.56,0.84,4.2,480,26.4,120,1110,666,120,84,432,1560,,
6,,,,24067,2,1449,,0,WOVENSTRETCH-S BLAU,SAMTCHEVRO BLAU,HEELGRIP OFFWHITE,IBITECH 57 STROBELSTOFF,95006_12 3012,SERAFIL 0821-60,SERAFIL 0821-30,SERAFIL 1000-60,0,0,0,0,0,0,0,0,0,0,0,,
6,,,,24067,2,1449,,0,1,0,0.031,0.035,0.15,3.15,2,1.1,,,,,,,,,,,,,
6,,,,24067,2,1449,283,124,124,0,3.844,4.34,18.6,390.6,248,136.4,,,,,,,,,,,,,
6,,,,24067,5,1449,,0,WOVENSTRETCH-S ROT,SAMTCHEVRO ROT,HEELGRIP OFFWHITE,IBITECH 57 STROBELSTOFF,95006_12 3512,SERAFIL 0105-60,SERAFIL 0105-30,SERAFIL 1000-60,,,,,,,,,,,,,
6,,,,24067,5,1449,,0,1,0,0.031,0.035,0.15,3.15,2,1.1,,,,,,,,,,,,,
6,,,,24067,5,1449,296,142,142,0,4.402,4.97,21.3,447.3,284,156.2,,,,,,,,,,,,,
6,,,,34015,6,1449,,0,WOVENSTRETCH-S PUDER-MULTI,PERFECT-S WEISS,NOVELLACALF PUDER,FROTTEE OFFWHITE,DELIKA OFFWHITE,HEELGRIP OFFWHITE,JAGER,PU-SCHAUM 6 OFFWHITE,WILHELM SCHAUM 4 OFFWHITE,IBITECH 57 STROBELSTOFF,YL-310 SILBER,RX-55_10_090 WEISS,SERAFIL 7924-30,SERAFIL 2000-30,SERAFIL 2000-60,SERAFIL 7924-60,SERAFIL 2000-60,SERAFIL 1000-30,,,
6,,,,34015,6,1449,,0,1,0.0622,0,0.11,0.02,0.023,0.0172,0.012,0.07,0.035,2,1,2,7.5,3.7,2.1,3.7,13,,,
6,,,,34015,6,1449,310,150,150,9.33,0,16.5,3,3.45,2.58,1.8,10.5,5.25,300,150,300,1125,555,315,555,1950,,,
6,,,,34015,6,1449,325,120,120,7.464,0,13.2,2.4,2.76,2.064,1.44,8.4,4.2,240,120,240,900,444,252,444,1560,,,
6,,,,34015,6,1449,337,120,120,7.464,0,13.2,2.4,2.76,2.064,1.44,8.4,4.2,240,120,240,900,444,252,444,1560,,,
6,,,,34015,6,1449,349,120,120,7.464,0,13.2,2.4,2.76,2.064,1.44,8.4,4.2,240,120,240,900,444,252,444,1560,,,
6,,,,34015,6,1449,361,120,120,7.464,0,13.2,2.4,2.76,2.064,1.44,8.4,4.2,240,120,240,900,444,252,444,1560,,,
6,,,,34015,6,1449,373,120,120,7.464,0,13.2,2.4,2.76,2.064,1.44,8.4,4.2,240,120,240,900,444,252,444,1560,,,
6,,,,34015,6,1449,385,120,120,7.464,0,13.2,2.4,2.76,2.064,1.44,8.4,4.2,240,120,240,900,444,252,444,1560,,,
6,,,,34015,7,1449,,0,WOVENSTRETCH-S ROT-WEISS,PERFECT-S WEISS,CRUNCHLACK-S ROSSO,FROTTEE OFFWHITE,DELIKA OFFWHITE,HEELGRIP OFFWHITE,JAGER,PU-SCHAUM 6 OFFWHITE,WILHELM SCHAUM 4 OFFWHITE,IBITECH 57 STROBELSTOFF,YL-310 SILBER,RX-55_10_090 WEISS,SERAFIL 1000-30,SERAFIL 2000-30,SERAFIL 2000-60,SERAFIL 0105-30,SERAFIL 0105-60,,,,
6,,,,34015,7,1449,,0,1,0.0622,0.0127,0.11,0.02,0.023,0.0172,0.012,0.07,0.035,2,1,13.75,7.5,7.4,1.25,2.1,,,,
6,,,,34015,7,1449,397,114,114,7.0908,1.4478,12.54,2.28,2.622,1.9608,1.368,7.98,3.99,228,114,1567.5,855,843.6,142.5,239.4,,,,
6,,,,34015,7,1449,409,50,50,3.11,0.635,5.5,1,1.15,0.86,0.6,3.5,1.75,100,50,687.5,375,370,62.5,105,,,,
6,,,,34015,7,1449,414,120,120,7.464,1.524,13.2,2.4,2.76,2.064,1.44,8.4,4.2,240,120,1650,900,888,150,252,,,,
6,,,,34015,7,1449,426,120,120,7.464,1.524,13.2,2.4,2.76,2.064,1.44,8.4,4.2,240,120,1650,900,888,150,252,,,,
6,,,,34015,7,1449,438,120,120,7.464,1.524,13.2,2.4,2.76,2.064,1.44,8.4,4.2,240,120,1650,900,888,150,252,,,,
6,,,,34015,7,1449,450,120,120,7.464,1.524,13.2,2.4,2.76,2.064,1.44,8.4,4.2,240,120,1650,900,888,150,252,,,,
