1,20,8,2020,14404,29,1407,,0,GAUCHO-SOFT BRONCE,KALBVELOUR TOFFEE,FROTTEE OFFWHITE,DELIKA OFFWHITE,HEELGRIP OFFWHITE,CAPAMA 103,PU-SCHAUM 6 ANTHRAZIT,WILHELM SCHAUM 4 OFFWHITE,IBITECH 57 STROBELSTOFF,VA 12ML CAFFEE,YL-264 NEW MORO,RX-55_15_100 TOFFEE_BLAU_ROT,SERAFIL 0287-30,SERAFIL 0287-60,SERAFIL 0971-30,SERAFIL 0971-60,SERAFIL 1000-60,SERAFIL 2000-60,SERAFIL 1000-30,,
1,,,,31238,11,1407,277,120,0,0,11.376,4.92,1.56,1.8,82.8,240,27.6,276,774,558,294,780,210,,,,,,
1,,,,31238,12,1407,,0,SOFTLACK BLAU,ZIEGE ROT,HEELGRIP SCHWARZ,PU-SCHAUM 4 ANTHRAZIT,AQUILINE 11,IBITECH 57 STROBELSTOFF,IT.12MM SOFTLACK BLAU,YL-212 MORO,RX-73_20 BLAU_MORO_MORO MET,SERAFIL 0821-20,SERAFIL 0821-30,SERAFIL 0821-60,SERAFIL 0106-60,SERAFIL 1000-30,SERAFIL 1000-60,,,,,,
1,,,,31238,12,1407,,0,,0,0.0948,0.041,0.013,0.015,0.69,2,0.23,2.3,6.45,4.65,2.45,6.5,1.75,,,,,,
1,,,,31238,12,1407,289,120,0,0,11.376,4.92,1.56,1.8,82.8,240,27.6,276,774,558,294,780,210,,,,,,
1,,,,31238,12,1407,301,120,0,0,11.376,4.92,1.56,1.8,82.8,240,27.6,276,774,558,294,780,210,,,,,,
1,,,,31238,12,1407,313,120,0,0,11.376,4.92,1.56,1.8,82.8,240,27.6,276,774,558,294,780,210,,,,,,
1,,,,31238,12,1407,325,120,0,0,11.376,4.92,1.56,1.8,82.8,240,27.6,276,774,558,294,780,210,,,,,,
1,,,,31238,12,1407,337,120,0,0,11.376,4.92,1.56,1.8,82.8,240,27.6,276,774,558,294,780,210,,,,,,
1,,,,31238,14,1407,,0,NAPPA-SOFT MARRONE,NUBUK BEACH,HEELGRIP BEIGE,PU-SCHAUM 4 ANTHRAZIT,AQUILINE 11,IBITECH 57 STROBELSTOFF,YL-212 MORO,RX-67_20_5 BLAU_MORO_MORO-MET,SERAFIL 1003-20,SERAFIL 1003-30,SERAFIL 1003-60,SERAFIL 0861-60,SERAFIL 1000-30,SERAFIL 1000-60,,,,,,,
1,,,,31238,14,1407,,0,,0,0.0948,0.041,0.013,0.015,2,0.23,2.3,6.45,4.65,2.45,6.5,1.75,,,,,,,
1,,,,31238,14,1407,349,120,0,0,11.376,4.92,1.56,1.8,240,27.6,276,774,558,294,780,210,,,,,,,
1,,,,31238,14,1407,361,120,0,0,11.376,4.92,1.56,1.8,240,27.6,276,774,558,294,780,210,,,,,,,
1,,,,31238,14,1407,373,120,0,0,11.376,4.92,1.56,1.8,240,27.6,276,774,558,294,780,210,,,,,,,
1,,,,31238,14,1407,385,120,0,0,11.376,4.92,1.56,1.8,240,27.6,276,774,558,294,780,210,,,,,,,
